[trackB-stable-v5] start 2026-08-26T14:08:08+02:00
[trackB-stable-v5] cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr resume=models/student_global_stable_v4.ckpt cfg=configs/student_global_v5.yaml -> models/student_global_stable_v5.ckpt
torch 2.5.1 cuda True dev NVIDIA H200
[Track B] config=configs/student_global_v5.yaml teacher_ckpt=models/teacher_pruned.ckpt (exists=True)
[Track B] target stats from cache c0:mean=0.000589/std=0.002058 c1:mean=1.009e+05/std=1394 c2:mean=278.9/std=21.1
[Track B] input stats from cache c0:mean=211.6/std=10.28 c1:mean=207.9/std=12.08 c2:mean=213/std=8.718 c3:mean=217.9/std=7.402 c4:mean=222.9/std=8.931 ...
[Track B] resumed model+heads from models/student_global_stable_v4.ckpt
[Track B] tp_logit_boost=0.0002 applied to head bias[0]
[Track B] channel_weights (tp,msl,2t)=[6.0, 0.25, 2.5]
[Track B] africa_mix=0.5 mask_frac=0.0945 tp_mode=softplus_soft precip_log1p_weight=6.0 wet_boost=12.0 underpred=4.0 pod=2.0 dry_collapse=1.0 normalize_inputs=True
[Track B] schedule feat@999 (β→0.0, ramp=1) spec@999 (γ→0.0, ramp=1) grad_clip=1.0 norm=True phys=True resume=models/student_global_stable_v4.ckpt
epoch 42 loss=8.081739 L_A=0.246953 L_B=0.000000 L_C=0.000000 L_tp=1.305798 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 43 loss=8.073612 L_A=0.246413 L_B=0.000000 L_C=0.000000 L_tp=1.304533 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 44 loss=8.057643 L_A=0.246594 L_B=0.000000 L_C=0.000000 L_tp=1.301842 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 45 loss=8.077264 L_A=0.246548 L_B=0.000000 L_C=0.000000 L_tp=1.305119 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 46 loss=8.094091 L_A=0.247248 L_B=0.000000 L_C=0.000000 L_tp=1.307807 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 47 loss=8.097379 L_A=0.247562 L_B=0.000000 L_C=0.000000 L_tp=1.308303 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 48 loss=8.078039 L_A=0.246692 L_B=0.000000 L_C=0.000000 L_tp=1.305224 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 49 loss=8.057620 L_A=0.245835 L_B=0.000000 L_C=0.000000 L_tp=1.301964 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 50 loss=8.088631 L_A=0.246671 L_B=0.000000 L_C=0.000000 L_tp=1.306993 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 51 loss=8.090469 L_A=0.247036 L_B=0.000000 L_C=0.000000 L_tp=1.307239 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 52 loss=8.078519 L_A=0.247275 L_B=0.000000 L_C=0.000000 L_tp=1.305207 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 53 loss=8.088550 L_A=0.247624 L_B=0.000000 L_C=0.000000 L_tp=1.306821 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 54 loss=8.082074 L_A=0.247216 L_B=0.000000 L_C=0.000000 L_tp=1.305810 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
